algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0.035,9632,8
QuickSort,random,1000,0.032,16508,6
QuickSelect,random,1000,0.010,4861,1
DeterministicSelect,random,1000,0.023,8904,4
InsertionSort,random,1000,0.157,243519,0
MergeSort,random,10000,0.442,127924,11
QuickSort,random,10000,0.412,227607,8
QuickSelect,random,10000,0.077,39191,1
DeterministicSelect,random,10000,0.230,96878,6
InsertionSort,random,10000,14.120,25134889,0
MergeSort,random,100000,5.566,1648042,14
QuickSort,random,100000,5.317,2914080,10
QuickSelect,random,100000,0.794,446400,1
DeterministicSelect,random,100000,2.230,1026325,7
MergeSort,random,1000000,68.969,19963618,18
QuickSort,random,1000000,62.851,37530033,12
QuickSelect,random,1000000,7.767,5392898,1
DeterministicSelect,random,1000000,22.454,10295126,9
MergeSort,sorted,1000,0.002,999,8
QuickSort,sorted,1000,0.017,16800,5
QuickSelect,sorted,1000,0.004,4204,1
DeterministicSelect,sorted,1000,0.007,6737,4
InsertionSort,sorted,1000,0.001,999,0
MergeSort,sorted,10000,0.014,9999,11
QuickSort,sorted,10000,0.195,226735,8
QuickSelect,sorted,10000,0.031,45964,1
DeterministicSelect,sorted,10000,0.070,71457,6
InsertionSort,sorted,10000,0.009,9999,0
MergeSort,sorted,100000,0.110,99999,14
QuickSort,sorted,100000,2.372,3075227,10
QuickSelect,sorted,100000,0.270,476904,1
DeterministicSelect,sorted,100000,0.749,736194,7
MergeSort,sorted,1000000,1.141,999999,18
QuickSort,sorted,1000000,27.416,37493290,12
QuickSelect,sorted,1000000,2.652,4123860,1
DeterministicSelect,sorted,1000000,7.979,7451894,9
MergeSort,duplicates,1000,0.022,9248,8
QuickSort,duplicates,1000,0.010,5320,4
QuickSelect,duplicates,1000,0.009,3016,1
DeterministicSelect,duplicates,1000,0.011,3892,4
InsertionSort,duplicates,1000,0.129,227659,0
MergeSort,duplicates,10000,0.240,121975,11
QuickSort,duplicates,10000,0.100,62195,4
QuickSelect,duplicates,10000,0.072,47988,1
DeterministicSelect,duplicates,10000,0.102,38703,6
InsertionSort,duplicates,10000,12.802,22366184,0
MergeSort,duplicates,100000,2.598,1568981,14
QuickSort,duplicates,100000,0.924,500166,4
QuickSelect,duplicates,100000,0.708,289944,1
DeterministicSelect,duplicates,100000,0.954,382151,7
MergeSort,duplicates,1000000,28.757,19002914,18
QuickSort,duplicates,1000000,9.212,5902201,3
QuickSelect,duplicates,1000000,7.287,5200107,1
DeterministicSelect,duplicates,1000000,15.091,6599687,9
ClosestPair,random,1000,0.508,11825,10
ClosestPair,random,10000,4.481,161707,13
ClosestPair,random,100000,52.899,2032367,17
